pdf,page,hs_code,description
HS Code/6 digit/0212_2022e.pdf,3,1209.10,
HS Code/6 digit/0212_2022e.pdf,3,1209.21,
HS Code/6 digit/0212_2022e.pdf,3,1209.22,
HS Code/6 digit/0212_2022e.pdf,3,1209.23,
HS Code/6 digit/0212_2022e.pdf,3,1209.24,Kentucky blue grass (Poa pratensis L.) seeds
HS Code/6 digit/0212_2022e.pdf,3,1209.25,
HS Code/6 digit/0212_2022e.pdf,3,1209.29,
HS Code/6 digit/0212_2022e.pdf,3,1209.30,
HS Code/6 digit/0212_2022e.pdf,3,1209.91,
HS Code/6 digit/0212_2022e.pdf,3,1209.99,
HS Code/6 digit/0212_2022e.pdf,3,12.10,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin."
HS Code/6 digit/0212_2022e.pdf,3,1210.10,
HS Code/6 digit/0212_2022e.pdf,3,1210.20,
HS Code/6 digit/0212_2022e.pdf,3,12.11,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered."
HS Code/6 digit/0212_2022e.pdf,3,1211.20,
HS Code/6 digit/0212_2022e.pdf,3,1211.30,
HS Code/6 digit/0212_2022e.pdf,3,1211.40,
HS Code/6 digit/0212_2022e.pdf,3,1211.50,
HS Code/6 digit/0212_2022e.pdf,3,1211.60,
HS Code/6 digit/0212_2022e.pdf,3,1211.90,
HS Code/6 digit/0212_2022e.pdf,4,1212.21,
HS Code/6 digit/0212_2022e.pdf,4,1212.29,
HS Code/6 digit/0212_2022e.pdf,4,1212.91,
HS Code/6 digit/0212_2022e.pdf,4,1212.92,
HS Code/6 digit/0212_2022e.pdf,4,1212.93,
HS Code/6 digit/0212_2022e.pdf,4,1212.94,
HS Code/6 digit/0212_2022e.pdf,4,1212.99,
HS Code/6 digit/0212_2022e.pdf,4,12.13,
HS Code/6 digit/0212_2022e.pdf,4,1213.00,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets."
HS Code/6 digit/0212_2022e.pdf,4,12.14,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets."
HS Code/6 digit/0212_2022e.pdf,4,1214.10,
HS Code/6 digit/0212_2022e.pdf,4,1214.90,
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,2,6510.652,Wheat and meslin: Durum wheat: Seed kg Other kg Certified Organic kg Other: Grade 1 kg Grade 2 kg Other kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,3,1001.1001.91,"Wheat and meslin: (con.) Other: Seed kg Other kg Canadian western extra strong hard red spring (CWES/HRS) wheat kg Other: Certified organic: Red spring wheat kg Other kg Other: Red spring wheat: Grade 1: Having a specified protein content not exceeding 12.9% by weight kg Having a specified protein content exceeding 12.9% but not exceeding 13.9% by weight kg Having a specified protein content exceeding 13.9% by weight kg Grade 2: Having a specified protein content not exceeding 12.9% by weight kg Having a specified protein content exceeding 12.9% butnot exceeding 13.9% by weight kg Having a specified protein content exceeding 13.9% by weight kg Other red spring wheat kg White winter wheat kg ""Canadian"" western red winter wheat kg Soft white spring wheat kg Other kg"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1003,Barley: Seed kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1003.10.00,Other: For malting purposes kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1003.90.20,Other kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1003.90.40,Certified organic kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1004,Oats: Seed kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1004.10.00,Other kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1004.90.00,Certified organic kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1005,Corn (maize): Seed kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1005.10.00,Yellow corn kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1005.90,Other kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1005.90.20,Certified Organic kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,4,1005.90.40,Popcorn kg
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006,
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.10.00,"00 Rice: Rice in the husk (paddy or rough) kg 1.8c/kg Free (A+,AU,BH, 2.8c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.20,Husked (brown) rice:
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.20.20,"Basmati. 0.83c/kg Free (A+,AU,BH, 3.3c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) 10 Certified organic. kg"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.20.40,"Other. Other. kg 2.1c/kg Free (A+,AU,BH, 3.3c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) Long grain: 25 Jasmine. kg 35 Other. kg 40 Medium grain. kg 60 Short grain. kg 80 Mixtures of any of the above. kg"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.30,"Semi-milled or wholly milled rice, whether or not polished or glazed:"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.30.10,"Parboiled. 11.2%/ Free (AU,BH,CL, 35% CO,D,E,IL,JO, MA,OM,P,PA, PE,S,SG) 0.7% (KR) 20 Long grain. kg 40 Other, including mixtures. kg"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.30.90,"Other. 1.4c/kg Free (A+,AU,BH, 5.5c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) 15 Certified Organic. kg Other: Long grain: 57 Jasmine. kg 59 Basmati. kg 61 Other. kg 65 Medium grain. kg 75 Short grain. kg 85 Mixtures of any of the above. kg"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,5,1006.40.00,"00 Broken rice. kg 0.44c/kg Free (A+,AU,BH, 1.4c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)"
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,6,1007.10.00,Grain sorghum: Seed kg 0.22¢/kg1/
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,6,1008.60.00,Triticale kg 1.1%2/
HS Code/country specific/Chapter 10_2025HTSRev32.pdf,6,1008.90.01,Other cereals (including wild rice) kg 1.1%1/
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,1,1104,". (B) Products falling within this chapter under the above provisions shall be classified in heading 1101 or 1102 if the percentage passing through a woven metal wire cloth sieve with the aperture indicated in column (4) or (5) is not less, by weight, than that shown against the cereal concerned. Otherwise, they fall in heading 1103 or 1104. Cereal Starch content Ash content Rate of passage through a sieve with an aperture of- (1) (2) (3) (4) (5) 315 micrometers 500 micrometers ( microns) (microns) (4) (5) Percent Percent Percent Percent Wheat and rye 45 2.5 80 Barley 45 3 80 Oats 45 5 80 Corn (maize) and grain sorghum 45 2 90 Rice 45 1.6 80 Buckwheat 45 4 80 3. For the purposes of heading 1103 the terms ""groats"" and ""meal"" mean products obtained by the fragmentation of cereal grains, of which -- (a) In the case of corn (maize) products, at least 95 percent by weight passes through a woven metal wire cloth sieve with an aperture of 2 mm; (b) In the case of other cereal products, at least 95 percent by weight passes through a woven metal wirecloth sieve with an aperture of 1.25 mm."
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1101.00.00,"Wheat or meslin flour. 0.7c/kg Free (A+,AU,BH, 2.3c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) 10 Hard spring wheat. kg 20 Durum wheat. kg 30 White winter wheat. kg Other: 50 Certified organic. kg 60 Other. kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102,"Cereal flours other than of wheat or meslin: Corn (maize) flour. kg. 0.3c/kg Free (A,AU,BH,CL, 1.1c/kg CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102.90,Other:
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102.90.20,00 Buckwheat flour. kg. Free 1.1c/kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102.90.25,"00 Rice flour. kg. 0.09c/kg Free (A,AU,BH,CL, 1.4c/kg CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102.90.27,"00 Rye flour. kg. 0.23c/kg Free (A+,AU,BH, 1c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) Other:"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102.90.30,"00 Mixtures. kg. 12.8%/ Free (A,AU,BH, 20% CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,3,1102.90.60,"00 Other. kg. 9%/ Free (A,AU,BH,CL, 20% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,4,11.00,"Cereal groats, meal and pellets: Groats and meal: Of wheat 0.5€/kg1/ Free (A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Semolina kg Other kg Of corn (maize) kg Cornmeal kg Other kg Of other cereals: Of oats kg Of rice kg Of other cereals kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground: Rolled or flaked grains: Of oats kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.12.00,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground: Rolled or flaked grains: Of oats kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.19,Of other cereals: Of barley kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.19.10,Of other cereals: Of barley kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.19.90,Of other cereals: Of barley kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.22.00,"Other worked grains (for example, hulled, pearled, sliced or kibbled): Of oats kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.23.00,Of corn (maize) kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.29,Of other cereals: Of barley kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.29.10,Of other cereals: Of barley kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.29.90,Other kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1104.30.00,"Germ of cereals, whole, rolled, flaked or ground kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes: Flour, meal and powder kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1105.10.00,"Flour, meal, powder, flakes, granules and pellets of potatoes: Flour, meal and powder kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,5,1105.20.00,"Flakes, granules and pellets kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106,"Flour, meal and powder of the dried leguminous vegetables of 1 2 heading 0713, of sago or of roots or tubers of heading 0714 or of the products of chapter 8:"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.10.00,"00 Of the dried leguminous vegetables of heading 0713...... kg...... 8.3%1/ Free (A, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.20,Of sago or of roots or tubers of heading 0714:
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.20.10,"00 Of Chinese water chestnuts...... kg...... 8.3%1/ Free (A, AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.20.90,00 Other. kg...... Free1/ Free
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.30,Of the products of chapter 8:
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.30.20,"00 Banana and plantain. kg...... 2.8%1/ Free (A, AU, BH, 20% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1106.30.40,"00 Other. kg...... 9.6%1/ Free (A, AU, BH, CL, 20% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1107,"Malt, whether or not roasted:"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1107.10.00,"00 Not roasted. kg...... 0.3c/kg1/ Free (A+, AU, BH, 0.88c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,6,1107.20.00,"00 Roasted. kg...... 0.42c/kg1/ Free (A+, AU, BH, 0.88c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108,Starches:
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108.11.00,"Wheat starch. 0.54c/kg Free (A,AU,BH,CL, 3.3c/kg CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG) 10 For food use. kg 90 Other. kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108.12.00,"Corn (maize) starch. 0.54c/kg Free (A,AU,BH,CL, 3.3c/kg CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG) 10 For food use. kg 90 Other. kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108.13.00,"Potato starch. 0.56c/kg Free (A+,AU,BH, 5.5c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) 10 For human consumption. kg 90 Other. kg"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108.14.00,Cassava (manioc) starch. kg. Free Free
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108.19.00,Other starches. Free Free 10 Cereal starches for non-food use. kg 90 Other. kg
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1108.20.00,"Inulin. kg. 2.6%/ Free (A,AU,BH,CL, 50% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1109.00,"Wheat gluten, whether or not dried:"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1109.00.10,"00 To be used as animal feed. kg. 1.8%/ Free (A,AU,BH,CL, 20% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 11_2025HTSRev32.pdf,7,1109.00.90,"Other. kg. 6.8%/ Free (A,AU,BH,CL, 20% CO,D,E,IL,JO, KR,MA,OM, P, PA,PE,S,SG) 10 Certified organic. kg 20 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,1,0702.00.4027,", 0702.00.4081, 0702.00.6006, 0702.00.6027, 0702.00.6037 and 0702.00.6081, ""round"" tomatoes, also commonly called ""globe"", ""slicing"" or ""beefsteak"" tomatoes, are round in shape and weigh as much as 0.9 kg. 3. For the purposes of statistical reporting number 0709.60.4074, the term ""Of a kind for processing"" refers to sweet bell-type peppers used for freezing, pickling/brining or as ingredients in other value-added products, and not intended for immediate retail sale."
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701,"Potatoes, fresh or chilled: Seed"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.10.00,"Potatoes, fresh or chilled: Seed"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.90,In immediate containers of not over 45 kg net weight
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.90.10,Other
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.90.50,Yellow (Solano) potatoes
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,3,0702.00,"Tomatoes, fresh or chilled: If entered during the period from March 1 to July 14, inclusive, or the period from September 1 to November 14, inclusive, in any year. 3.9c/kg Free (AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Greenhouse: Certified organic: 02 Grape. kg 04 Roma (plum type). kg 06 Round, of a kind described in statistical note 2 to this chapter. kg 08 Other. kg Other: 19 Cherry. kg 26 Grape. kg 32 Roma (plum type). kg 36 Round, of a kind described in statistical note 2 to this chapter. kg 42 Other. kg Other: Certified organic: 43 Grape. kg 44 Roma (plum type). kg 48 Round, of a kind described in statistical note 2 to this chapter. kg 50 Other. kg Other: 52 Cherry. kg 62 Grape. kg 66 Roma (plum type). kg 81 Round, of a kind described in statistical note 2 to this chapter. kg 92 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,4,0702.00,"Tomatoes, fresh or chilled: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,4,0702.00.40,"If entered during the period from July 15 to August 31, inclusive, in any year. 2.8c/kg Free (AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Greenhouse: Certified organic: 02 Grape. kg 04 Roma (plum type). kg 06 Round, of a kind described in statistical note 2 to this chapter. kg 08 Other. kg Other: 19 Cherry. kg 21 Grape. kg 23 Roma (plum type). kg 27 Round, of a kind described in statistical note 2 to this chapter. kg 32 Other. kg Other: Certified organic. kg Other: 41 Cherry. kg 47 Grape. kg 66 Roma (plum type). kg 81 Round, of a kind described in statistical note 2 to this chapter. kg 92 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,5,0702.00,"Tomatoes, fresh or chilled: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,5,0702.00.60,"If entered during the period from November 15, in any year, to the last day of the following February, inclusive. 2.8c/kg Free (A, AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Greenhouse: Certified organic: 02 Grape. kg 04 Roma (plum type). kg 06 Round, of a kind described in statistical note 2 to this chapter. kg 08 Other. kg Other: 19 Cherry. kg 21 Grape. kg 23 Roma (plum type). kg 27 Round, of a kind described in statistical note 2 to this chapter. kg 32 Other. kg Other: Certified organic: 33 Grape. kg 34 Roma (plum type). kg 37 Round, of a kind described in statistical note 2 to this chapter. kg 38 Other. kg Other: Cherry. kg 46 Grape. kg 66 Roma (plum type). kg 81 Round, of a kind described in statistical note 2 to this chapter. kg 92 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,6,10.20,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled: Onions and shallots: Onion sets kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,6,0703.10,Other: Pearl onions not over 16 mm in diameter kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,6,0703.20.00,"Certified organic: Onions kg Other kg Other: Onions: Red varieties kg White varieties kg Yellow varieties, not marked sweet kg Yellow varieties, marked sweet kg Other kg Shallots kg Other kg Garlic kg Fresh whole bulbs: Certified organic kg Other kg Fresh whole peeled cloves kg Other kg Leeks and other alliaceous vegetables kg Green onions of a species other than Allium cepa kg Other kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,6,0703.90.00,20%2/
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704,"Cabbages,cauliflower, kohlrabi, kale and similar edible"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.10,"brassicas,fresh or chilled: Cauliflowers and broccoli (Brassica oleracea var. botrytis):"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.10.20,"00 If entered during the period from June 5 to October 15, inclusive, in any year. kg. 2.5%2 Free (A,AU,BH,CL, 50% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG) Other:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.10.40,"00 Not reduced in size. kg. 10%2 Free (A,AU,BH,CL, 50% CO,D,E,IL,JO, KR,MA,OM,P PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.10.60,"00 Cut, sliced or otherwise reduced in size. kg. 14%2 Free (A,AU,BH,CL, 35% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.20.00,"00 Brussels sprouts. kg. 12.5%1 Free (A,AU,BH,CL, 50% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.90,Other (including sprouting broccoli (Brassica oleracea var. italica)):
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.90.20,"00 Cabbage. kg. 0.54c/kg2 Free (A,AU,BH,CL, 4.4c/kg CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,7,0704.90.40,"Other. 20%2 Free (A+,AU,BH, 50% CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG) 15 Bok choy. kg Broccoli: 22 Certified organic. kg 24 Other. kg 28 Collards. kg 35 Kale. kg 45 Napa cabbage. kg 55 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,8,29.00,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled: Lettuce: Head lettuce (cabbage lettuce): If entered in the period from June 1 to October 31, inclusive, in any year kg Other kg Other: If entered in the period from June 1 to October 31, inclusive, in any year kg Romaine lettuce kg Butterhead lettuce kg Red and green leaf lettuce kg Other kg Other kg Chicory: Witlof chicory (Cichorium intybus var. foliosum) kg Other kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706,"Carrots, turnips, salad beets (salad beetroot), salsify, celeriac, radishes and similar edible roots, fresh or chilled:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.10,Carrots and turnips: Carrots:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.10.05,"00 Reduced in size. kg. 14.9%2 Free (A+, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.10.10,"00 Under 10 cm in length. kg. 1.4c/kg2 Free (A, AU, BH, CL, 17.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.10.20,"00 Other. kg. 0.7c/kg2 Free (A+, AU, BH, 8.8c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.10.40,00 Turnips. kg. Free2 0.6c/kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.90,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.90.20,"00 Radishes. kg. 2.7%2 Free (A, AU, BH, CL, 50% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.90.30,"00 Beets and horseradish. kg. 1.9%2 Free (A, AU, BH, CL, 12% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,9,0706.90.40,"Other. 10%2 Free (A+, AU, BH, 50% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Celeriac. kg 40 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,11,0707.00,"Cucumbers, including gherkins, fresh or chilled: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,11,0707.00.50,"If entered during the period from May 1 to June 30, inclusive, or the period from September 1 to November 30, inclusive, in any year. 5.6c/kg Free (AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 05 Gherkins. kg Other: Greenhouse: Certified organic: 22 Persian. kg 24 Long seedless. kg 26 Other. kg Other: Persian. kg 30 Long seedless. kg 50 Other. kg 60 Other: Other: Certified organic. kg 85 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,11,0707.00.60,"If entered during the period from July 1 to August 31, inclusive, in any year. 1.5c/kg Free (A, AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 05 Gherkins. kg Other: Greenhouse: Certified organic: 13 Persian. kg 17 Long seedless. kg 21 Other. kg Other: Persian. kg 24 Long seedless. kg 26 Other. kg 28 Other. kg Other: Not exceeding 15 cm (6 inches) in length and presented in bulk quantities of 453.6 kg (1,000 lbs) or more. kg Other: 60 Certified organic. kg 75 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled: Peas (Pisum sativum):"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708.10,"If entered during the period from July 1 to September 30, inclusive, in any year. 0.5c/kg Free (A, AU, BH, CL, 8.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Snow peas. kg 40 Sugar snap peas. kg 60 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708.10.40,"Other. 2.8c/kg Free (A, AU, BH, CL, 8.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Snow peas. kg 40 Sugar snap peas. kg 60 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708.20,"Beans (Vigna spp., Phaseolus spp.):"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708.20.10,"00 Lima beans, if entered during the period from November 1 in any year to the following May 31, inclusive. kg 2.3c/kg Free (A, AU, BH, CL, 7.7c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708.20.20,"Cowpeas (other than black-eye peas). Free Free 05 Yard-long beans (Vigna unguiculata subsp., Sesquipedalis). kg 10 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,12,0708.20.90,"Other. 4.9c/kg Free (A+, AU, BH, 7.7c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 05 Other beans of the genus Vigna. kg Other: 20 French style. kg 40 Certified organic. kg 60 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708,"(con.) Leguminous vegetables, shelled or unshelled, fresh or chilled: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708.90,Other leguminous vegetables:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708.90.05,"00 Chickpeas (garbanzos). kg. 1c/kg Free (A, AU, BH, CL, 4.4c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
